,Type,Repository,Repository City,Rep. Nat.,"Repository, City",,Lib_Latitude,Lib_Longitude,Shelfmark,Date_Start,Date_End,Date_Quality,Provenance,Prov_Latitude,Prov_Longitude,Length,Width,Number Pieces,Orientation,Complete?,Language_1,Language_2,Contents,Description,Bibliography,Editor Initials,Online Images,Online bib/record,
667,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,"lat. 13365 (anc. S. Germain-des-Prés, no 1287), fol. 65, 66, 67",1314,1315,,"France, Corbie",,,50,24,3,,N,Latin,,"Fragmentary mortuary roll of Garnier, abbot of Corbie.",Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 240.",LBB,,,
668,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,"lat. 11541, fol. 1 and 2",1334,1334,,"France, S. Maur-des-Fossés",,,50,19-24,2,,N,Latin,,"Fragmentary mortuary roll of Pierre II, abbot of St. Maur-des-Fossés.",Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 248.",LBB,,,
429,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 989,1300,1300,,"France, Fecamp",,,24.5,13.5,,,N,Latin,,"Anonymous fragmentary mortuary roll, maybe put into circulation by the Trinite de Fecamp.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 212.",ECI,http://gallica.bnf.fr/ark:/12148/btv1b8551117m.r=989.langEN,,
428,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 9204,1305,1305,,Unknown Provenance,,,37.5,28.5,17,,,Latin,,"Fragmentary mortuary roll of Jacques and Philippe [II], abbots of St. Pierremont (died respectively October 26 1298 et June 3 1305)",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 232.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000077286,
415,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 13700,1342,1342,,Unknown Provenance,,,Unknown,Unknown,,,N,Latin,,Mortuary roll fragment put into circulation by the abbey of Corbie.,,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 255.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000074614,
410,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 11617,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,N,Latin,,"Fragmentary mortuary roll of Gerard and Adam, monks of Corbie.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 265.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000073128,
413,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 12297,1200,1300,,Unknown Provenance,,,Unknown,Unknown,,,N,Latin,,"Roll of Gerard and Adam, sacerdotes et monachi.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 265.",,http://gallica.bnf.fr/ark:/12148/btv1b90776526/f2.image.r=12297.langEN,,
406,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,nouv. acq. lat. 150,1432,1433,,Unknown Provenance,,,Unknown,Unknown,,,N,Latin,,"Mortuary roll Fragment of Adam de I'Escotte, abbot of Marchiennes .",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 326.",KWS; LBB,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000069818,
430,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,nouv. acq. fr. 150,1432,1432,,Unknown Provenance,,,Unknown,Unknown,,,N,French,,Roll carried by Jean Wyart in N. France and Belgium.,,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 326.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000039126,
405,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,"lat. 12875, fol. 608",1442,1442,,Unknown Provenance,,,Unknown,Unknown,,,,Latin,,"Liste de defunts adressee par Pierre [Marques], abbe de Marmoutier, a St. Martin de Tours.",Fragment of roll in codex form.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 334.",KWS; LBB,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000074006,
418,Mortuary Roll,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 2199,1476,1477,,Unknown Provenance,,,Unknown,Unknown,2,,N,Unknown Language,,"Mortuary roll fragment having visited, notably, Poitiers et Beziers.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 4. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 366.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000060083,
459,Music,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,Coll. de Picardie 67,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,N,Unknown Language,,,Final flyleaf.,"Hoppin, Richard H. “A Musical Rotulus of the Fourteenth Century.” Revue Belge de Musicologie 9 (1955): 131.; Hoppin, Richard H. “Some Remarks a Propos of Pic.” Revue Belge de Musicologie 10 (1956): 105–11.; Kügle, Karl. “Two Abbots and a Rotulus: New Light on Brussels 19606.” In Quomodo Cantabimus Canticum? Studies in Honor of Edward H. Roesner, edited by D.B. Cannata, G. Ilnitchi Currie, R.C. Mueller, and J.L. Nádas, 145–85. Middleton, WI: American Institute of Musicology, 2008.",SDP,,http://gallica.bnf.fr/ark:/12148/bpt6k209169n/f110.image,
278,Liturgical,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,nouv. acq. 710,1100,1150,,"Italy, Fondi",,,612,24,8,,N,Latin,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000071410,
98,Dramatic Parts,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,nouv. acq. lat 2374,1400,1500,,Unknown Provenance,,,28.5,9,,,,Unknown Language,,Farce of Thévol.,,"Maxwell, J. “La Farce de Thévot Le Maire, Perruche et Colin.” Humanisme et Renaussance 6 (1939): 539–46.; Samaran, C., ed. “Fragments de Manuscrits Latins et Français Du Moyen Age.” Romania 51 (1925): 199–200.",SDP,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000070586,
217,GB Roy. Gen.,Bibliothèque nationale de France,Paris,FR,"Bibliothèque nationale de France, Paris FR",,,,lat. 6055,1450,1475,,England,,,484,34,,V,,Latin,,"Geneology of the kings of England, Adam through Henry VI.",,"Scott, Kathleen L. Tradition and Innovation in Later Medieval English Manuscripts. London: The British Library, 2007, 169 n.309.",ADM,,http://archivesetmanuscrits.bnf.fr/ead.html?id=FRBNFEAD000065080,
368,Mortuary Roll,Bibliothèque Publique et Universitaire,Geneva,CH,"Bibliothèque Publique et Universitaire, Geneva CH",,,,MS Lat 189,1358,1359,,Switzerland,,,268,31.5,,,,Latin,,Roll of common tribute in favor of the Abbey of Notre-Dame d’Aulps.,,"Canivez, J. M. “Aulps.” In Dictionnaire D’histoire et de Géographie Ecclésiastiques, 5:672–74. Paris, 1931.; Coutin, F. “Inventaire de l’Abbaye Notre-Dame d’Aulps.” In Mémoires et Documents Publiés Par l’Académie Salésienne, 74:71–83.; Delerce, Arnaud. Une Abbaye de Montagne, Sainte-Marie d’Aulps. Son Histoire et Son Domaine Par Ses Archives. Documents D’histoire Savoyarde 4. Thonon: Académie chablaisienne, 2011.",SDP,,http://doc.rero.ch/record/31283/files/Ms_lat_1_250.pdf p.823,
367,Mortuary Roll,Bibliothèque Publique et Universitaire,Geneva,CH,"Bibliothèque Publique et Universitaire, Geneva CH",,,,MS Lat 188,1450,1550,,Switzerland,,,71,25,,,N,Unknown Language,,Obituary of the church of Saint-Gervais in Geneva.,,"Gagnebin, François. “Français et Savoyards Dans Trois Obituaires Conservés À La Bibliothèque de Genève.” In Bulletin Philologique et Historique (jusqu’à 1610), Année 1960, 1:451–60. Paris: Imprimerie nationale, 1961.",SDP,,http://doc.rero.ch/record/31283?ln=fr,
565,Vitae,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS II 3189,1325,1375,,Unknown Provenance,,,808,16.4,,V,,French,Flemish,"Life of St. Quentin, illustrated; reproduces frieze and inscription of church of St. Quentin.",,"Branner, Robert. “The Saint-Quentin Rotulus.” Scriptorium 21 (1967): 252–60.",,,http://opteron1.kbr.be/manus/BELGICA/B001/vdg_1_13.pdf,
573,Chronicles,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS IV.1003,1457,1457,ca,Unknown Provenance,,,Unknown,Unknown,,,,French,,History of the world to the year 1457.,Chronicle has arms.,"Davis, Lisa Fagin. The First and Second Recensions of the Chronique Anonyme Universelle: Houghton MS Typ 41 and MS Fr 49. Cambridge, MA: Harvard University, 2009.; Booton, Diane E. Manuscripts, Market and the Transition to Print in Late Medieval Brittany. Ashgate Publishing, Ltd., 2010.",SDP,,,
338,Mortuary Roll,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS 120,1426,1426,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Fragmentary mortuary roll that visited Bruges.,,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 320.",ECI; LBB,,http://opteron1.kbr.be/manus/BELGICA/B001/vdg_1_13.pdf,
452,Music,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS 19606,1300,1400,,Unknown Provenance,,,139,17.5,,,,Unknown Language,,"Fourteen polyphonic motets, including works of Philippe de Vitry.",,"Hoppin, Richard H. “A Musical Rotulus of the Fourteenth Century.” Revue Belge de Musicologie 9 (1955): 131.; Hoppin, Richard H. “Some Remarks a Propos of Pic.” Revue Belge de Musicologie 10 (1956): 105–11.",,,http://belgica.kbr.be/fr/coll/ouvRef/ouvRefCatal_fr.html,
2,Amulets,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS IV.247,1475,1500,,Italy,,,79,16.5,,,,Latin,Italian,,,"Stork, Hans-Walter. “Spätmittelalterliche Gebetsbücher in Rollenform in Überlieferung Und Bild.” Gutenberg Jahrschrift 20 (2010): 43–78.",,,,
113,FR Roy. Gen.,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS 9949-51,1457,1457,ca,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"Genealogy of kings of France, dukes of Burgundy, and counts of Louvain.",,"Wijsman, Hanno. Luxury Bound. Illustrated Manuscript Production and Noble and Princely Book Ownership in the Burgundian Netherlands (1400-1550). Turnhout: Brepols, 2010, 233.",SDP (added bibliography),,,
473,Prayer Roll,Bibliothèque Royale,Brussels,BE,"Bibliothèque Royale, Brussels BE",,,,MS IV.912,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,,,"Wittek, Martin. “Les Manuscrits Grecs de La Bibliothèque Royale Albert Ier: Vingt Années D’acquisitions (1954–73).” In Le Monde Grec: Pensée, Littérature, Histoire, Documents, edited by Jean Bingen, 245–54. Brussels, 1975, 248f. and pl. I.2.",SDP,,,
594,Chronicles,Bibliothèque Sainte-Geneviève,Paris,FR,"Bibliothèque Sainte-Geneviève, Paris FR",,,,MS 522,1475,1499,,Unknown Provenance,,,1183,68,,V,,French,,Universal history from the creation of the world.,,"Davis, Lisa Fagin. The First and Second Recensions of the Chronique Anonyme Universelle: Houghton MS Typ 41 and MS Fr 49. Cambridge, MA: Harvard University, 2009.",ECI,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=13280,http://www.calames.abes.fr/pub/bsg.aspx#details?id=BSGA11593,
595,Chronicles,Bibliothèque Sainte-Geneviève,Paris,FR,"Bibliothèque Sainte-Geneviève, Paris FR",,,,MS 523,1520,1520,,Unknown Provenance,,,3270,65,,,,French,,Roll containing a universal history from the creation of the world until the beginning of the 16th century with paintings of Pope Leo X and his cardinals. The rest of the roll contains roundels with illustrated scenes of historical events.,Written on parchment.,"Davis, Lisa Fagin. The First and Second Recensions of the Chronique Anonyme Universelle: Houghton MS Typ 41 and MS Fr 49. Cambridge, MA: Harvard University, 2009.",,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=13281,http://www.calames.abes.fr/pub/bsg.aspx#details?id=BSGA11594,
434,Mortuary Roll,Bibliothèque Sainte-Geneviève,Paris,FR,"Bibliothèque Sainte-Geneviève, Paris FR",,,,"MS 1260, f. 114",1075,1124,?,"France, Tours, St. Martin",,,35.5,23,1,,N,Latin,,Fragmentary mortuary roll of an abbot named Girard.,Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 1. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009. no. 99.",ECI; LBB,,http://www.calames.abes.fr/pub/bsg.aspx#details?id=BSGB10023,
531,Trees of Christ,Bibliothèque Sainte-Geneviève,Paris,FR,"Bibliothèque Sainte-Geneviève, Paris FR",,,,MS 1212,1275,1275,,Unknown Provenance,,,455,43,,,,Latin,,Peter of Poitiers compendium historiae in genealogia Christi.,,"Walters Art Gallery. Illuminated Books of the Middle Ages and Renaissance: An Exhibition Held at the Baltimore Museum of Art, January 27-March 13. Baltimore: Trustees of the Walters Art Gallery, 1949, n. 155, p. 57.",ALN,http://bvmm.irht.cnrs.fr/consult/consult.php?COMPOSITION_ID=8133&corpus=decor,http://www.calames.abes.fr/pub/ms/BSGA13465,
214,GB Roy. Gen.,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Fr.d.1 R,1321,1327,ca,"England, East Anglia",,,479,27,6,,,French,,Genealogy of the Kings of England from Egbert to Edward II.,,"Beal, Peter, and Jeremy Griffiths. Manuscripts in The Schøyen Collection Copied or Owned in the British Isles before 1700. Vol. 5. English Manuscript Studies 1100-1700. London, 1995. p. 42.; Dean, Ruth J. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society from Birkbeck College, 1999, no. 6; Hunt, Richard William. A Summary Catalogue of Western Manuscripts in the Bodleian Library at Oxford Which Have Not Hitherto Been Catalogued in the Quarto Series: With References to the Oriental and Other Manuscripts. Oxford: Clarendon Press, 1895, no. 32859.; Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, O4.",EAM,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/search?q=Shelfmark=%22MS.%20Fr.%20d.%201%20(R)%22,,
670,Heraldic Roll,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Ash. Rolls 15 A,1475,1525,,Unknown Provenance,,,495.3,19.1,6,V,,Unknown Language,,"489 names and blasons with a collection of heraldic charges, a treatise on heraldry and various heraldic matters on the dorse.",Opisthographic.,Unknown Bibliography,SDP,,,
244,Heraldic Roll,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Ash. Rolls 45,1600,1699,,England,,,Unknown,Unknown,,H,,Unknown Language,,"Procession of the House of Lords, 1512.",,Unknown Bibliography,EAM,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/search?q=Shelfmark=%22MS.%20Ash.%20Rolls%2045%22,,
80,Chronicles,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Bodl. Rolls 23,1420,1420,ca,England,,,Unknown,Unknown,,,,Latin,,Chronicle of the Bishops of Winchester to 1419.,,Unknown Bibliography,EAM,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+Bodl.+Rolls+23,,
479,Prayer Roll,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Bodl. Rolls 22,1400,1424,ca,England,,,164,28,2,,,English,,Hymn to St. Catherine of Sinai.,,Unknown Bibliography,EAM,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+Bodl.+Rolls+22,,
241,Heraldic Roll,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,Ashmole 804,1345,1351,,England,,,Unknown,Unknown,,,,Unknown Language,,Powell's Roll.,,"Black, William Henry. A Descriptive, Analytical, and Critical Catalog of the Manuscripts Bequethed unto the University of Oxford by Elias Ashmole, Esq. Oxford: Oxford University Press, 1845.",,,https://databank.ora.ox.ac.uk/misccoll/datasets/QuartoAshmole/Ashmole.pdf,
50,Arma Christi,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Add. E. 4,1400,1450,ca,England,,,123.8,18.1,2,,,English,,Arma Christi. Summary catalogue number 29110.,Opisthographic.,"Brown, Carleton Fairchild, and Rossell Hope Robbins. The Index of Middle English Verse. New York: Printed for the Index Society by Columbia University Press, 1943. p. 405, no. 257.; Edsall, Mary Agnes. “Arma Christi Rolls or Textual Amulets?: The Narrow Roll Format Manuscripts of ‘O Vernicle.’” Magic, Ritual, and Witchcraft 9, no. 2 (2014): 178–209.","EPW (new shelfmark, dimensions, number of membranes, etc. from Bodleian MS catalog linked)",,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/additional/additional-e.html,
51,Arma Christi,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Bodl. Rolls 16,1400,1499,,England,,,158,12,3,,,English,,"Passion of Christ, poem in English, with drawings of instruments, some in color.",,"Brown, Carleton Fairchild, and Rossell Hope Robbins. The Index of Middle English Verse. New York: Printed for the Index Society by Columbia University Press, 1943. p. 405, no. 2577.; Edsall, Mary Agnes. “Arma Christi Rolls or Textual Amulets?: The Narrow Roll Format Manuscripts of ‘O Vernicle.’” Magic, Ritual, and Witchcraft 9, no. 2 (2014): 178–209.; Hunt, Richard William. A Summary Catalogue of Western Manuscripts in the Bodleian Library at Oxford Which Have Not Hitherto Been Catalogued in the Quarto Series: With References to the Oriental and Other Manuscripts. Oxford: Clarendon Press, 1895. no. 2975.",EAM,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+Bodl.+Rolls+16,http://books.google.com/books?id=rOQtAAAAIAAJ&pg=PA558&lpg=PA558&dq=bodleian+library+pedigree+roll+2&source=bl&ots=YViuDY6a0W&sig=pR7fAhw7X8fupSiBIUJnBkRSl3I&hl=en&sa=X&ei=_-HCU4qzOMykyATosYLgCg&ved=0CD0Q6AEwBQ#v=onepage&q=bodleian%20library%20pedigree%20roll%202&f=false  p.559,p.559
529,Trees of Christ,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Lat. Theol. B.I,1225,1275,,England,,,Unknown,Unknown,,,,Unknown Language,,Peter of Poitiers Compendium historiae in genealogia Christi.,,"Cahn, Walter. “The Allegorical Menorah.” In Tributes in Honor of James H. Marrow: Studies in Painting and Manuscript Illumination of the Late Middle Ages and Northern Renaissance, edited by Jeffrey F. Hamburger and A. S. Korteweg, 117–26. London: Harvey Miller, 2006.",EPW (corrected shelfmark and added note),,,
528,Trees of Christ,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,Lyell 84,1200,1250,,France,,,Unknown,Unknown,,,,Latin,,"Septenarium pictum, derived at least in part from Hugh of St. Victor, De quinque septenis.",,"Cleaver, Laura. “Past, Present and Future for Thirteenth-Century Wales: Two Diagrams in British Library, Cotton Roll XIV.12.” Electronic British Library Journal, 2013, 1–26.",ZRW (corrected contents and description),http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/lyell/images/00843518.jpg,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/lyell/lyell.html,
94,Dramatic Parts,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,Eng Poet f 2 (R) (SC 30516),1200,1400,,Unknown Provenance,,,127,10.1,2,,,English,,Assize roll with one part of a play.,A possible performance role on dorse.,"Davis, Norman. Non-Cycle Plays and Fragments. London; New York: Oxford University Press, 1970, p. c-cxi, 106-113 also pp. lxxxv-c, 90-105.; Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996, 17 n. 28.; Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.; McCarren, Vincent P., and Douglas Moffat. A Guide to Editing Middle English. Ann Arbor: The University of Michigan Press, 1998, 330-331.; Rouse, Richard H. “Roll and Codex: The Transmission of the Works of Reinmar von Zweter.” In Gabriel Silagi, ed. Paläographie 1981: Colloquium Des Conité International de Paléographie. München, 15.-18. September 1981, 107–23, XI – XV pl. Münchener Beiträge Zur Mediävistik Und Renaissance-Forschung 32. Munich: Arbeo-Gesellschaft, 1982, 121 and n. 38.",SDP (edited),,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/eng/images/aam0860.gif,
212,GB Roy. Gen.,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Bodl. Rolls 7,1450,1500,ca,England,,,792,35,11,,,Latin,,"Latin chronicle of kings of England, attributed to Roger Alban (or of St. Albans). Text is Lyell E.",,"De la Mare, Albinia Catherine. Catalogue of the Collection of Medieval Manuscripts Bequeathed to the Bodleian Library, Oxford by James P. R. Lyell. Oxford: Clarendon P., 1971, 84-85; Hunt, Richard William. A Summary Catalogue of Western Manuscripts in the Bodleian Library at Oxford Which Have Not Hitherto Been Catalogued in the Quarto Series: With References to the Oriental and Other Manuscripts. Oxford: Clarendon Press, 1895, no. 2965; Moore, Philip S. The Works of Peter of Poitiers, Master in Theology and Chancellor of Paris (1193-1205). Notre Dame, IN: The University of Notre Dame, 1936, 112.",EAM,,http://books.google.com/books?id=rOQtAAAAIAAJ&pg=PA558&lpg=PA558&dq=bodleian+library+pedigree+roll+2&source=bl&ots=YViuDY6a0W&sig=pR7fAhw7X8fupSiBIUJnBkRSl3I&hl=en&sa=X&ei=_-HCU4qzOMykyATosYLgCg&ved=0CD0Q6AEwBQ#v=onepage&q=bodleian%20library%20pedigree%20roll%202&f=false  p.558,p.558
197,GB Roy. Gen.,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,Lyell 33,1469,1470,,England,,,525,21.5,15,,,English,,"Genealogy of kings of England, Adam to Edward IV, in English. Text is Lyell A.",Roll codex.,"De la Mare, Albinia Catherine. Catalogue of the Collection of Medieval Manuscripts Bequeathed to the Bodleian Library, Oxford by James P. R. Lyell. Oxford: Clarendon P., 1971. 80-82.",,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/lyell/images/00333507.jpg,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/lyell/lyell.html,
195,GB Roy. Gen.,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,e Mus 42,1467,1469,,England,,,340,215,,,,English,,"Genealogy of kings of England, in English, text is Lyell A.",Roll bound into codex.,"De la Mare, Albinia Catherine. Catalogue of the Collection of Medieval Manuscripts Bequeathed to the Bodleian Library, Oxford by James P. R. Lyell. Oxford: Clarendon P., 1971. 82-83.",,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/emusaeo/images/00423538.jpg,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/emusaeo/images/aaq0076.gif,
198,GB Roy. Gen.,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Add. E.14,1272,1275,ca,England,,,379.1,33.7,,,,French,,"A genealogy and a chronicle of the kings of England from Brut to Edward I (1272) in parallel columns, preceeded by a diagram of the early divisions of the country with descriptions.",,"Dean, Ruth J. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society from Birkbeck College, 1999, no. 6.; Hunt, Richard William. A Summary Catalogue of Western Manuscripts in the Bodleian Library at Oxford Which Have Not Hitherto Been Catalogued in the Quarto Series: With References to the Oriental and Other Manuscripts. Oxford: Clarendon Press, 1895,no. 29579.; Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, O1.",SDP,,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/additional/additional-e.html,
471,Poetry,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Add. E. 7,1450,1450,ca,England,,,130.8,14,,,,English,,Rhyming verses on the kings of England from William the Conqueror to Henry VI 192 lines.,,"Dennison, Lynda. An Index of Images in English Manuscripts from the Time of Chaucer to Henry VIII, C. 1380-C. 1509. Turnhout: Harvey Miller Publishers, 2000. p. 31 no. 15.; Hunt, Richard William. A Summary Catalogue of Western Manuscripts in the Bodleian Library at Oxford Which Have Not Hitherto Been Catalogued in the Quarto Series: With References to the Oriental and Other Manuscripts. Oxford: Clarendon Press, 1895. no. 29284.; ",SDP,,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/additional/additional-e.html,
458,Music,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Rawl.c.400 A,1300,1400,?,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Binding fragments & parts of two rolls.,,"Dittmer, Luther A. “An English Discantuum Volumen.” Musica Disciplina 8 (1954): 19–58.; Hohler, Christopher. “Reflections on Some Manuscripts Containing 13th Century Polyphony.” Journal of Plainsong and Medieval Music Society 1 (1978): 2–38.",,,,
631,Music,Bodleian Library,Oxford,GB,"Bodleian Library, Oxford GB",,,,MS Rawl.c.400 B,1300,1400,?,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Roll fragment with Office of St. Margaret on verso.,,"Dittmer, Luther A. “An English Discantuum Volumen.” Musica Disciplina 8 (1954): 19–58.; Hohler, Christopher. “Reflections on Some Manuscripts Containing 13th Century Polyphony.” Journal of Plainsong and Medieval Music Society 1 (1978): 2–38.",,,,
